seeker_id,hider_id,seeker_reward,seeker_A,seeker_seed,seeker_source,hider_reward,hider_A,hider_seed,hider_source,n,wins,wr,ci_lo,ci_hi,stage_reached,self_pair
4,26,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,7,grid,100,13,0.13,0.07757167427240512,0.20980351440076428,3,0
4,27,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,8,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
4,28,R4_sparse,0.0,4,grid,R4_sparse,0.0,42,anchor,100,70,0.7,0.6041514536665332,0.7810511470506724,3,0
4,29,R4_sparse,0.0,4,grid,R4_sparse,0.5,42,anchor,100,13,0.13,0.07757167427240512,0.20980351440076428,3,0
4,30,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.0,42,anchor,100,80,0.8,0.7111708344068411,0.8666330666689676,3,0
4,31,R4_sparse,0.0,4,grid,R7_kitchen_sink,0.5,42,anchor,100,13,0.13,0.07757167427240512,0.20980351440076428,3,0
5,0,R4_sparse,0.5,0,grid,R4_sparse,0.0,0,grid,100,44,0.44,0.34672026630160796,0.5377189534832302,3,0
5,1,R4_sparse,0.5,0,grid,R4_sparse,0.0,1,grid,100,38,0.38,0.29097599252478734,0.47790244704488916,3,0
5,2,R4_sparse,0.5,0,grid,R4_sparse,0.0,2,grid,100,30,0.3,0.2189488529493276,0.3958485463334666,3,0
5,3,R4_sparse,0.5,0,grid,R4_sparse,0.0,3,grid,100,28,0.28,0.20139685211186212,0.3748802870992116,3,0
5,4,R4_sparse,0.5,0,grid,R4_sparse,0.0,4,grid,100,24,0.24,0.16691325556948772,0.33232336349814473,3,0
5,5,R4_sparse,0.5,0,grid,R4_sparse,0.5,0,grid,100,29,0.29,0.2101483574912227,0.3853889117557111,3,1
5,6,R4_sparse,0.5,0,grid,R4_sparse,0.5,1,grid,100,21,0.21,0.14165654061915303,0.29979968834089865,3,0
5,7,R4_sparse,0.5,0,grid,R4_sparse,0.5,2,grid,100,21,0.21,0.14165654061915303,0.29979968834089865,3,0
5,8,R4_sparse,0.5,0,grid,R4_sparse,0.5,3,grid,100,48,0.48,0.384645517580519,0.5768342223477603,3,0
5,9,R4_sparse,0.5,0,grid,R4_sparse,0.5,4,grid,100,19,0.19,0.12514751509768735,0.27778845379064376,3,0
5,10,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,0,grid,100,15,0.15,0.09305985283656631,0.23283559590832364,3,0
5,11,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,1,grid,100,13,0.13,0.07757167427240512,0.20980351440076428,3,0
5,12,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,2,grid,100,22,0.22,0.15001282384605402,0.31070353514985793,3,0
5,13,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,3,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
5,14,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,4,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
5,15,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,5,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
5,16,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,6,grid,100,20,0.2,0.13336693333103253,0.28882916559315885,3,0
5,17,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,7,grid,100,26,0.26,0.18404698464748132,0.3537098944918718,3,0
5,18,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,8,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
5,19,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,0,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
5,20,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,1,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
5,21,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,2,grid,100,9,0.09,0.04807254000256516,0.1622621285271631,3,0
5,22,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,3,grid,100,12,0.12,0.0699940643701949,0.19812099426711421,3,0
5,23,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,4,grid,100,10,0.1,0.0552291370606751,0.17436566150491345,3,0
5,24,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,5,grid,100,15,0.15,0.09305985283656631,0.23283559590832364,3,0
5,25,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,6,grid,100,7,0.07,0.03431926106727268,0.137495147390735,3,0
5,26,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,7,grid,100,11,0.11,0.06254196357064568,0.18631296503080313,3,0
5,27,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,8,grid,100,20,0.2,0.13336693333103253,0.28882916559315885,3,0
5,28,R4_sparse,0.5,0,grid,R4_sparse,0.0,42,anchor,100,19,0.19,0.12514751509768735,0.27778845379064376,3,0
5,29,R4_sparse,0.5,0,grid,R4_sparse,0.5,42,anchor,100,11,0.11,0.06254196357064568,0.18631296503080313,3,0
5,30,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.0,42,anchor,100,13,0.13,0.07757167427240512,0.20980351440076428,3,0
5,31,R4_sparse,0.5,0,grid,R7_kitchen_sink,0.5,42,anchor,100,42,0.42,0.3279838267435473,0.5179351329695703,3,0
6,0,R4_sparse,0.5,1,grid,R4_sparse,0.0,0,grid,100,16,0.16,0.10095288488804782,0.24420269389270244,3,0
6,1,R4_sparse,0.5,1,grid,R4_sparse,0.0,1,grid,100,17,0.17,0.10893566114059931,0.25548004767601123,3,0
6,2,R4_sparse,0.5,1,grid,R4_sparse,0.0,2,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
6,3,R4_sparse,0.5,1,grid,R4_sparse,0.0,3,grid,100,9,0.09,0.04807254000256516,0.1622621285271631,3,0
6,4,R4_sparse,0.5,1,grid,R4_sparse,0.0,4,grid,100,14,0.14,0.08526343659939135,0.22137188210963837,3,0
6,5,R4_sparse,0.5,1,grid,R4_sparse,0.5,0,grid,100,22,0.22,0.15001282384605402,0.31070353514985793,3,0
6,6,R4_sparse,0.5,1,grid,R4_sparse,0.5,1,grid,100,31,0.31,0.22779697212376038,0.40626055719489407,3,1
