run_id,reward,A,seed,anchor_wr,own_wr,label
R7_no_urgency_A0_s0,R7_no_urgency,0.0,0,0.7333333333333333,1.0,healthy
R7_no_urgency_A0_s1,R7_no_urgency,0.0,1,0.9916666666666667,0.9666666666666668,healthy
R7_no_urgency_A0_s2,R7_no_urgency,0.0,2,0.525,0.1333333333333333,healthy
R7_no_urgency_A0_s3,R7_no_urgency,0.0,3,0.5333333333333332,1.0,healthy
R7_no_urgency_A0_s4,R7_no_urgency,0.0,4,0.38333333333333336,1.0,over-specialization
R7_no_urgency_A0_s5,R7_no_urgency,0.0,5,0.5416666666666666,1.0,healthy
R7_no_urgency_A0_s6,R7_no_urgency,0.0,6,0.9833333333333333,1.0,healthy
R7_no_urgency_A0_s7,R7_no_urgency,0.0,7,0.3166666666666666,1.0,over-specialization
R7_no_urgency_A0_s8,R7_no_urgency,0.0,8,0.11666666666666665,1.0,over-specialization
R7_no_urgency_A0_s9,R7_no_urgency,0.0,9,0.85,1.0,healthy
R7sk_R4hd_A0_s0,R7sk_R4hd,0.0,0,0.6333333333333333,1.0,healthy
R7sk_R4hd_A0_s1,R7sk_R4hd,0.0,1,0.7,1.0,healthy
R7sk_R4hd_A0_s2,R7sk_R4hd,0.0,2,0.3166666666666666,1.0,over-specialization
R7sk_R4hd_A0_s3,R7sk_R4hd,0.0,3,0.9916666666666667,1.0,healthy
R7sk_R4hd_A0_s4,R7sk_R4hd,0.0,4,0.8,1.0,healthy
R7sk_R4hd_A0_s5,R7sk_R4hd,0.0,5,0.35000000000000003,1.0,over-specialization
R7sk_R4hd_A0_s6,R7sk_R4hd,0.0,6,0.7000000000000001,1.0,healthy
R7sk_R4hd_A0_s7,R7sk_R4hd,0.0,7,0.8833333333333333,1.0,healthy
R7sk_R4hd_A0_s8,R7sk_R4hd,0.0,8,0.4083333333333333,0.1333333333333333,basin
R7sk_R4hd_A0_s9,R7sk_R4hd,0.0,9,0.9333333333333333,1.0,healthy
R7sk_R4hd_A50_s0,R7sk_R4hd,0.5,0,0.8333333333333333,0.9,healthy
R7sk_R4hd_A50_s1,R7sk_R4hd,0.5,1,0.775,1.0,healthy
R7sk_R4hd_A50_s2,R7sk_R4hd,0.5,2,0.9,1.0,healthy
R7sk_R4hd_A50_s3,R7sk_R4hd,0.5,3,1.0,1.0,healthy
R7sk_R4hd_A50_s4,R7sk_R4hd,0.5,4,1.0,0.9666666666666668,healthy
R7sk_R4hd_A50_s5,R7sk_R4hd,0.5,5,0.4666666666666667,1.0,over-specialization
R7sk_R4hd_A50_s6,R7sk_R4hd,0.5,6,0.4916666666666667,1.0,over-specialization
R7sk_R4hd_A50_s7,R7sk_R4hd,0.5,7,0.7833333333333333,1.0,healthy
R7sk_R4hd_A50_s8,R7sk_R4hd,0.5,8,0.9833333333333333,0.8666666666666667,healthy
R7sk_R4hd_A50_s9,R7sk_R4hd,0.5,9,0.9666666666666667,1.0,healthy
